   [paribhāṣā]	[pariBAzA]
   Lil_70c/ śalyam %ṣaḍbhis atha iṣubhis %tribhis api chatram dhvajam	Lit-_70c/ Salyam %zaxBiH aTa izuBiH %triBiH api Catram Dvajam
   kārmukam @ciccheda asya śiras śareṇa kati te yān arjunas @saṃdadhe//	kArmukam @cicCeda asya SiraH SareNa kati te yAn arjunaH @saMdaDe//
   Lil_70p/ nyāsas/ mūla-guṇakas 4/ bhāgas 1_2/ dṛśyam 10/ yadā lavais ca	Lit-_70p/ nyAsas/ mUla-guNakaH 4/ BAgaH 1_2/ dRSyam 10/ yadA lavEH ca
   ūna-yutas iti-ādinā jātam bāṇa-mānam 100// api ca/	Una--yutaH iti--AdinA jAtam bANa-mAnam 100// api ca/
   Lil_71a/ ali-kula-#dala-mūlam mālatīm yātam %aṣṭau nikhila-%navama-bhāgās	Lin-_71a/ ali-kula-#dala--mUlam mAlatIm yAtam %azwO niKila-%-navama-BAgAH-
   cālinī bhṛṅgam %ekam/	cAlinI BRFgam %ekam/
   Lil_71c/ niśi parimala-lubdham padma-madhye niruddham @pratiraṇati	Lit-_71c/ niSi parimala-lubDam padma--maDye nirudDam @pratiraNati
   raṇantam @brūhi kānte ali-saṃkhyām//	raNantam @brUhi kAnte ali--saMKyAm//
   Lil_71p/ atra kila rāśi-%nava-aṃśa-%aṣṭakam rāśi-ardha-mūlam ca rāśes ṛṇam	Lit-_71p/ atra kila rASi-%nava-aMSa-%azwakam rASi--arDa--mUlam ca rASeH RNam
   rūpa-%dvayam dṛśyam/ etat ṛṇam dṛśyam ca ardhitam rāśi-%ardhasya @bhavati	rUpa-%-dvayam dRSyam/ etat RNam dRSyam ca arDitam rASi-%arDasya @Bavati
   iti// tathā nyāsas/ mūla-guṇakas -1_2/ bhāgas -8_9/ atra prāk-vat labdham	iti// taTA nyAsas/ mUla-guNakaH -1_2/ BAgaH -8_9/ atra prAk---vat labDam
   rāśi-dalam 36/ etat dvi-guṇitam ali-kula-mānam 72// bhāga-mūla-yute dṛṣṭe	rASi-dalam 36/ etat dvi-guNitam ali-kula-mAnam 72// BAga--mUla--yute dRzwe
   udāharaṇam/	udAharaNam/
   Lil_72a/ yas rāśis %aṣṭādaśabhis sva-mūlais rāśi-%tri-bhāgena samanvitas	Lit-_72a/ yaH rASiH %azwAdaSaBiH sva-mUlEH rASi-%tri--BAgena samanvitas
   ca/	ca/
   Lil_72c/ jātam %śata-%dvādaśakam tam āśu @jānīhi pāṭyām paṭutā @asti te	Lit-_72c/ jAtam %Sata-%-dvAdaSakam tam ASu @jAnIhi pAwyAm pawu-tA @asti te
   ced//	ced//
   Lil_72p/ nyāsas/ mūla-guṇakas 18/ bhāgas 1_3/ dṛśyam 1200/ atra %ekena	Lit-_72p/ nyAsas/ mUla-guNakaH 18/ BAgaH 1_3/ dRSyam 1200/ atra %ekena
   bhāga-yutena 4_3 mūla-guṇam dṛśyam ca @bhaktvā prāk-vat jātas rāśis 576//	BAga--yutena 4_3 mUla-guNam dRSyam ca @BaktvA prAk---vat jAtaH rASiH 576//
   iti guṇa-karma// atha trairāśike karaṇa-sūtram vṛttam/	iti guNa-karma// aTa trErASike karaNa-sUtram vRttam/
   Lil_73a/ pramāṇam icchā ca samāna-jātī ādi-antayos tad-phalam anya-jāti/	Lit-_73a/ pramANam icCA ca samAna--jAtI Adi-antayoH tad--Palam anya-jAti/
   Lil_73c/ madhye tat icchā-hatam ādya-hṛt @syāt icchā-phalam vyasta-vidhis	Lit-_73c/ maDye tat icCA-hatam Adya-hRt @syAt icCA--Palam vyasta--viDi-s
   vilome//	vilome//
   Lil_73p/ udāharaṇam/	Lit-_73p/ udAharaNam/
   Lil_74a/ kuṅkumasya sa-#dalam pala-%dvayam niṣka-%saptama-lavais %tribhis	Lit-_74a/ kuFkumasya sa-#dalam pala-%-dvayam nizka-%-saptama-lavEH %triBiH-
   yadi/	yadi/
   Lil_74c/ @prāpyate sapadi me vaṇij-vara @brūhi niṣka-%navakena tat kiyat//	Lit-_74c/ @prApyate sapadi me vaNij-vara @brUhi nizka-%navakena tat kiyat//
   Lil_74p/ nyāsas 3_7/ 5_2/ 9_1/ labdhāni kuṅkuma-palāni 52/ karṣau 2// api	Lit-_74p/ nyAsaH 3_7/ 5_2/ 9_1/ labDAni kuFkuma--palAni 52/ karzO 2// api
   ca/	ca/
   Lil_75a/ prakṛṣṭa-karpūra-pala-%triṣaṣṭyā ced @labhyate	Lit-_75a/ prakRzwa-karpUra--pala-%-trizazwyA ced @laByate
   niṣka-%catuṣka-yuktam/	nizka--%catuzka-yuktam/
   Lil_75c/ %śatam tadā %dvādaśabhis sa-#pādais palais kim @ācakṣva sakhe	Lit-_75c/ %Satam tadA %dvAdaSaBiH sa-#pAdEH palEH kim @Acakzva saKe
   @vicintya//	@vicintya//
   Lil_75p/ nyāsas 63/ 104/ 49_4/ labdhās niṣkās 20/ drammās 3/ paṇās 8/	Lit-_75p/ nyAsaH 63/ 104/ 49_4/ labDAH nizkAH 20/ drammAH 3/ paNAH 8/
   kākiṇyas 3/ varāṭakās 11/ varāṭaka-bhāgās ca 1_9// api ca/	kAkiNyaH 3/ varAwakAH 11/ varAwaka-BAgAH ca 1_9// api ca/
   Lil_76a/ dramma-%dvayena sa-%aṣṭa-aṃśā śāli-taṇḍula-khārikā/	Lin-_76a/ dramma-%-dvayena sa-%azwa-aMSA SAli-taNxula--KArikA/
   Lil_76c/ labhyā ced paṇa-%saptatyā tat kim sapadi @kathyatām//	Lit-_76c/ laByA ced paNa-%saptatyA tat kim sapadi @kaTyatAm//
   Lil_76p/ atra pramāṇasya sajātīya-karaṇa-artham dramma-%dvayasya	Lit-_76p/ atra pramANasya sajAtIya-karaNa--arTam dramma-%-dvayasya
   paṇī-kṛtasya nyāsas 32/ 9_8/ 70/ labdhe khāryau 2/ droṇās 7/ āḍhakas 1/	paNI-kRtasya nyAsaH 32/ 9_8/ 70/ labDe KAryO 2/ droNAH 7/ AXakaH 1/
   prasthau 2// atha vyasta-trairāśike karaṇa-sūtram/	prasTO 2// aTa vyasta-trErASike karaNa-sUtram/
   Lil_77a/ icchā-vṛddhau phale hrāsas hrāse vṛddhis ca @jāyate/	Lit-_77a/ icCA-vRdDO Pale hrAsaH hrAse vRdDiH ca @jAyate/
   Lil_77c/ vyastam trairāśikam tatra jñeyam gaṇita-kovidais//	Lit-_77c/ vyastam trErASikam tatra jQeyam gaNita--kovidEs//
   Lil_77p/ yatra icchā-vṛddhau phale hrāsas hrāse vā phala-vṛddhis tatra	Lit-_77p/ yatra icCA--vRdDO Pale hrAsaH hrAse vA Pala-vRdDiH tatra
   vyasta-trairāśikam/ tat yathā/	vyasta-trErASikam/ tat yaTA/
   Lil_78a/ jīvānām vayasas maulye taulye varṇasya haimane/	Lit-_78a/ jIvAnAm vayasaH mOlye tOlye varNasya hEmane/
   Lil_78c/ bhāga-hāre ca rāśīnām vyastam trairāśikam @bhavet//	Lit-_78c/ BAga-hAre ca rASInAm vyastam trErASikam @Bavet//
   Lil_78p/ jīva-vayas-mūlye udāharaṇam/	Lit-_78p/ jIva--vayas--mUlye udAharaNam/
   Lil_79a/ @prāpnoti ced %ṣoḍaśa-vatsarā strī %dvātriṃśatam %viṃśati-vatsarā	Lit-_79a/ @prApnoti ced %zoxaSa--vatsarA strI %dvAtriMSatam %viMSati-vatsarA
   kim/	kim/
   Lil_79c/ %dvi-dhūs-vahas niṣka-%catuṣkam ukṣā @prāpnoti dhūs-%ṣaṭka-vahas	Lit-_79c/ %dvi-DU-s-vahaH nizka-%-catuzkam ukzAH @prApnoti DUs-%zawka-vahas
   tadā kim//	tadA kim//
   Lil_79p/ nyāsas 16/ 32/ 20/ labdham niṣkās 25_3_5// %dvitīya-nyāsas 2/ 4/	Lit-_79p/ nyAsaH 16/ 32/ 20/ labDam nizkAH 25_3_5// %dvitIya-nyAsaH 2/ 4/
   6/ labdham niṣkās 1_1_3// varṇīya-suvarṇa-taulye udāharaṇam/	6/ labDam nizkAH 1_1_3// varNIya--suvarNa-tOlye udAharaNam/
   Lil_80a/ %daśa-varṇam suvarṇam ced gadyāṇakam @avāpyate/	Lit-_80a/ %daSa-varNam suvarNam ced gadyANakam @avApyate/
   Lil_80c/ niṣkeṇa #tithi-varṇam tu tadā @vada kiyad-mitam//	Lit-_80c/ nizkeNa #tiTi-varNam tu tadA @vada kiyat--mitam//
   Lil_80p/ nyāsas 10/ 1/ 15/ labdham 2_3// rāśi-bhāga-haraṇe udāharaṇam/	Lit-_80p/ nyAsaH 10/ 1/ 15/ labDam 2_3// rASi-BAga-haraNe udAharaNam/
   Lil_81a/ %sapta-āḍhakena mānena rāśau sasyasya māpite/	Lit-_81a/ %sapta-a-AXakena mAnena rASO sasyasya mApite/
   Lil_81c/ yadi māna-%śatam jātam tadā %pañca-āḍhakena kim//	Lit-_81c/ yadi mAna--%Satam jAtam tadA %paQca-a-AXakena kim//
   Lil_81p/ nyāsas 7/ 100/ 5/ labdham 140// iti vyastam trairāśikam// atha	Lit-_81p/ nyAsaH 7/ 100/ 5/ labDam 140// iti vyastam trErASikam// aTa
   %pañca-rāśika-ādau karaṇa-sūtram vṛttam/	%paQca-rASika--AdO karaNa-sUtram vRttam/
   Lil_82a/ %pañca-%sapta-%nava-rāśika-ādike anyonya-pakṣa-nayanam	Lit-_82a/ %paQca-%-sapta-%nava--rASika-Adike anyonya--pakza-nayanam
   phala-chidām/	Pala--CidAm/
   Lil_82c/ @saṃvidhāya bahu-rāśi-je vadhe su-alpa-rāśi-vadha-bhājite	Lit-_82c/ @saMviDAya bahu-rASi-je vaDe su--alpa--rASi-vaDa--BAjite
   phalam//	Palam//
   Lil_82p/ atra uddeśakas/	Lit-_82p/ atra uddeSakas/
   Lil_83a/ māse %śatasya yadi %pañca kalā-antaram @syāt varṣe gate @bhavati	Lit-_83a/ mAse %Satasya yadi %paQca kalA-antaram @syAt varze gate @Bavati
   kim @vada %ṣoḍaśānām/	kim @vadaH %zoxaSAnAm/
   Lil_83c/ kālam tathā @kathaya mūla-kalā-antarābhyām mūlam dhanam gaṇaka	Lit-_83c/ kAlam taTA @kaTaya mUla-kalA-antarAByAm mUlam Danam gaNaka
   kāla-phale @viditvā//	kAla-Pale @viditvA-a//
   Lil_83p/ nyāsas {btabular} 1 & 12 \\ 100 & 16 \\ 5 & * {etabular} labdham	Lit-_83p/ nyAsaH {bta-bular} 1 & 12 \\ 100 & 16 \\ 5 & * {eta-bular} labDam
   kalā-antaram 9_3_5// atha kāla-jñāna-artham nyāsas {btabular} 1 &* \\ 100	kalA-antaram 9_3_5// aTa kAla--jQAna--arTam nyAsaH {bta-bular} 1 &* \\ 100
   & 16\ \ 5 & 48_5 {etabular} labdhās māsās 12// mūla-dhana-artham nyāsas	& 16\ \ 5 & 48_5 {eta-bular} labDAH mAsAH 12// mUla-Dana--arTam nyAsa-s
   {btabular} 1 & 12 \\ 100 & * \\ 5 & 48_5 {etabular} labdham mūla-dhanam	{bta-bular} 1 & 12 \\ 100 & * \\ 5 & 48_5 {eta-bular} labDam mUla-Danam
   Lil_84a/ sa-%tri-aṃśa-māsena %śatasya ced @syāt kalā-antaram %pañca	Lit-_84a/ sa-%tri--aMSa--mAsena %Satasya ced @syAt kalA-antaram %paQca
   sa-%pañcama-aṃśās/	sa-%paQcama-aMSAs/
   Lil_84c/ māsais %tribhis %pañca-lava-adhikais tat sa-%ardha-%dviṣaṣṭes	Lit-_84c/ mAsEH %triBiH %paQca-lava--aDikEH tat sa-%arDa-%dvizazweH-
   phalam @ucyatām kim//	Palam @ucyatAm kim//
   Lil_84p/ nyāsas {btabular} 4_3 & 16_5 \\ 100 & 125_2 \\ 26_5 & *	Lit-_84p/ nyAsaH {bta-bular} 4_3 & 16_5 \\ 100 & 125_2 \\ 26_5 & *
   {etabular} labdham kalā-antaram 7_4_5// atha %sapta-rāśika-udāharaṇam/	{eta-bular} labDam kalA-antaram 7_4_5// aTa %sapta-rASika--uda-AharaNam/
   Lil_85a/ vistāre %tri-karās kara-%aṣṭaka-mitās dairghye vicitrās ca ced	Lit-_85a/ vistAre %tri-karAH kara-%azwa-ka-mitAH dErGye vicitrAH ca ced-
   rūpais utkaṭa-paṭṭa-sūtra-paṭikās %aṣṭau @labhante %śatam/	rUpEH utkawa--pawwa-sUtra-pawikAH %azwO @laBante %Satam/
   Lil_85c/ dairghye sa-%ardha-kara-%trayā apara-paṭī hasta-%ardha-vistāriṇī	Lit-_85c/ dErGye sa-%arDa--kara--%trayA apara-pawI hasta--%arDa-vistAriNI
   tādṛk kim @labhate drutam @vada vaṇik vāṇijyakam @vetsi ced//	tAdRS kim @laBate drutam @vada vaNij vANijyakam @vetsi ced-//
   Lil_85p/ nyāsas {btabular} 3 & 1_2 \\ 8 & 7_2 \\ 8 & 1 \\ 100 & *	Lit-_85p/ nyAsaH {bta-bular} 3 & 1_2 \\ 8 & 7_2 \\ 8 & 1 \\ 100 & *
   {etabular} labdham niṣkās 0/ drammās 14/ paṇās 9/ kākiṇī 1/ varāṭakās 6/	{eta-bular} labDam nizkAH 0/ drammAH 14/ paNAH 9/ kAkiNI 1/ varAwakAH 6/
   [āpaṭe: varaṭakās] varāṭaka-bhāgau 2_3// atha %nava-rāśika-udāharaṇam/	[a-Apawe: varawakAs] varAwaka-BAgO 2_3// aTa %nava-rASika--uda-AharaNam/
   Lil_86a/ piṇḍe ye #arka-mita-aṅgulās kila %catur-varga-aṅgulās vistṛtau	Lit-_86a/ piNxe ye #arka-mita--aFgulAH kila %catur-varga-aFgulAH vistRtO
   paṭṭās dīrghatayā %caturdaśa-karās %triṃśat @labhante %śatam/	pawwAH dIrGatayA %caturdaSa--karAH %triMSat @laBante %Satam/
   Lil_86c/ etās vistṛti-piṇḍa-dairghya-mitayas yeṣām %catur-varjitās paṭṭās	Lit-_86c/ etAH vistRti--piNxa-dErGya-mitayaH yezAm %catur-varjitAH pawwAH-
   te @vada me %caturdaśa sakhe maulyam @labhante kiyat//	te @vada me %caturdaSa saKe mOlyam @laBante kiyat//
   Lil_86p/ nyāsas {btabular} 12 & 8 \\ 16 & 12 \\ 14 & 10 \\ 30 & 14 \\ 100	Lit-_86p/ nyAsaH {bta-bular} 12 & 8 \\ 16 & 12 \\ 14 & 10 \\ 30 & 14 \\ 100
   & * {etabular} labdham mūlyam niṣkās 16_2_3// atha	& * {eta-bular} labDam mUlyam nizkAH 16_2_3// aTa
   %ekādaśa-rāśika-udāharaṇam/	%ekAdaSa--rASi-ka--udAharaNam/
   Lil_87a/ paṭṭās ye %prathama-udita-pramitayas gavyūti-mātre sthitās teṣām	Lit-_87a/ pawwAH ye %praTama--udita--pramitayaH gavyUti--mAtre sTitAH tezAm
   ānayanāya ced śakaṭinām dramma-%aṣṭakam bhāṭakam/	AnayanAya ced SakawinAm dramma-%azwakam BAwakam/
   Lil_87c/ anye ye tad-anantaram nigaditās mānais %catur-varjitās teṣām kā	Lit-_87c/ anye ye tad--anantaram nigaditAH mAnEH %catur--varjitAH tezAm kA
   @bhavati iti bhāṭaka-mitis gavyūti-%ṣaṭke @vada//	@Bavati iti BAwaka--mitiH gavyUti-%zawke @vada//
   Lil_87p/ nyāsas {btabular} 12 & 8 \\ 16 & 12 \\ 14 & 10 \\ 30 & 14 \\ 1 &	Lit-_87p/ nyAsaH {bta-bular} 12 & 8 \\ 16 & 12 \\ 14 & 10 \\ 30 & 14 \\ 1 &
   6 \\ 8 & * {etabular} labdhās bhāṭaka-drammās 8// atha	6 \\ 8 & * {eta-bular} labDAH BAwaka--drammAH 8// aTa
   bhāṇḍa-pratibhāṇḍake karaṇa-sūtram vṛtta-%ardham/	BANxa--pratiBANxake karaNa-sUtram vRtta--%arDam/
   Lil_88/ tathā eva bhāṇḍa-pratibhāṇḍake api viparyayas tatra sadā hi	Lit-_88/ taTA eva BANxa--pratiBANxake api viparyayaH tatra sadA hi
   mūlye//	mUlye//
   Lil_88p/ udāharaṇam/	Lit-_88p/ udAharaNam/
   Lil_89a/ drammeṇa @labhyate iha āmra-%śata-%trayam ced %triṃśat-paṇena	Lit-_89a/ drammeNa @laByate iha Amra--%-Sata-%-trayam ced %triMSat-paNena
   vipaṇau vara-dāḍimāni/	vipaNO vara--dAximAni/
   Lil_89c/ āmrais @vada āśu %daśabhis kati dāḍimāni labhyāni tad-vinimayena	Lit-_89c/ AmrEH @vadaH ASu %da-SaBiH kati dAximAni laByAni tad--vinimayena
   @bhavanti mitra//	@Bavanti mitra//
   Lil_89p1/ nyāsas {btabular} 16 & 1 \\ 300 & 30 \\ 10 & * {etabular}	Lit-_89p1/ nyAsaH {bta-bular} 16 & 1 \\ 300 & 30 \\ 10 & * {eta-bular}
   labdhāni dāḍimāni 16// iti gaṇita-pāṭyām līlāvatyām prakīrṇakāni//	labDAni dAximAni 16// iti gaNita--pAwyAm lIlAvatyAm prakIrNakAni//
   [miśraka-vyavahāra]	[miSraka--vyavahAra]
   Lil_89p2/ atha miśraka-vyavahāre karaṇa-sūtram sa-%ardha-vṛttam/	Lit-_89p2/ aTa miSraka-vyavahAre karaNa-sUtram sa-%arDa-vRttam/
   Lil_90a/ pramāṇa-kālena hatam pramāṇam vimiśra-kālena hatam phalam ca/	Lit-_90a/ pramANa-kAlena hatam pramANam vimiSra--kAlena hatam Palam ca/
   Lil_90c/ sva-yoga-bhakte ca pṛthak-sthite te miśra-āhate mūla-kalā-antare	Lit-_90c/ sva---yoga--Bakte ca pRTak--sTite te miSra-A-Ahate mUla-kalA-antare
   @stas/ [āpaṭe: prathak- < pṛthak-]	@H-tas/ [Apawe: praTak < pRTak-]
   Lil_90e/ yat vā iṣṭa-karma-ākhya-vidhes tu mūlam miśrāt cyutam tat ca	Lit-_90e/ yat vE izwa-karma-AKya-viDeH tu mUlam miSrAt cyutam tat ca
   kalā-antaram @syāt//	kalA-antaram @syAt//
   Lil_90p/ uddeśakas/	Lit-_90p/ uddeSakas/
   Lil_91a/ %pañcakena %śatena abde mūlam svam sakala-antaram/	Lit-_91a/ %paQcakena %Satena abde mUlam svam sakala--antaram/
   Lil_91c/ sahasram ced pṛthak tatra @vada mūla-kalā-antare//	Lit-_91c/ sahasram ced pRTak tatra @vada mUla-kalA--antare//
   Lil_91p/ nyāsas {btabular} 1 & 12 \\ 100 & 1000 \\ 5 & * {etabular} labdhe	Lit-_91p/ nyAsaH {bta-bular} 1 & 12 \\ 100 & 1000 \\ 5 & * {eta-bular} labDe
   krameṇa mūla-kalā-antare 625/ 375// atha vā iṣṭa-karmaṇā kalpitam iṣṭam	krameNa mUla-kalA-antare 625/ 375// aTa vE izwa-karmaNA kalpitam izwam
   #rūpam 1/ uddeśaka-ālāpavat iṣṭa-rāśis iti-ādi-karaṇena #rūpasya varṣe	#rUpam 1/ uddeSa-ka-AlApa-vat izwa-rASiH iti-Adi--karaNena #rUpasya varze
   kalā-antaram 3_5/ etad-yutena #rūpeṇa 8_5 dṛṣṭe 1000 #rūpa-guṇe bhakte	kalA-antaram 3_5/ etat--yutena #rUpeNa 8_5 dRzwe 1000 #rUpa-guNe Bakte
   labdham mūla-dhanam 625/ etat miśrāt cyutam kalā-antaram 375//	labDam mUla-Danam 625/ etat miSrAt cyutam kalA-antaram 375//
   miśra-antare karaṇa-sūtram vṛttam/	miSra-antare karaNa-sUtram vRttam/
   Lil_92a/ atha pramāṇais guṇitās sva-kālās vyatīta-kāla-ghna-phala-uddhṛtās	Lit-_92a/ aTa pramANEH guNitAH sva--kAlAH vyatIta--kAla--Gna--Pala--udDRtA-as
   te/	te/
   Lil_92c/ sva-yoga-bhaktās ca vimiśra-nighnās prayukta-khaṇḍāni pṛthak	Lit-_92c/ sva---yoga--BaktAH ca vimiSra--niGnAH prayukta--KaNxAni pRTak-
   @bhavanti//	@Bavanti//
   Lil_92p/ uddeśakas/	Lit-_92p/ uddeSakas/
   Lil_93a/ yat %pañcaka-%trika-%catuṣka-%śatena dattam khaṇḍais %tribhis	Lit-_93a/ yat %paQcaka--%trika-%-catuzka--%-Satena dattam KaNxEH %triBiH-
   gaṇaka niṣka-%śatam %ṣaṣ-ūnam/	gaNaka nizka--%-Satam %zaz-Unam/
   Lil_93c/ māseṣu %sapta-%daśa-%pañcasu tulyam āptam khaṇḍa-%traye api hi	Lit-_93c/ mAsezu %sapta-%daSa-%-paQcasu tulyam Aptam KaNxa-%traye api hi
   phalam @vada khaṇḍa-saṃkhyām//	Palam @vada KaNxa--saMKyAm//
   Lil_93p/ nyāsas {btabular} 1 & 7 & 1 & 10 & 1 & 5 \\ 100 & * & 100 & * &	Lit-_93p/ nyAsaH {bta-bular} 1 & 7 & 1 & 10 & 1 & 5 \\ 100 & * & 100 & * &
   100 * \\ 5 & * & 3 & * & 4 & * {etabular} miśra-dhanam 94/ sva-yogas	100 * \\ 5 & * & 3 & * & 4 & * {eta-bular} miSra-Danam 94/ sva---yoga-s
   235_21/ [āpaṭe: sva-yogas 235_21/ miśra-dhanam 94/] labdhāni yathā-kramam	235_21/ [Apawe: sva--yogaH 235_21/ miSra-Danam 94/] labDAni yaTA-kramam
   khaṇḍāni 24/ 28/ 42/ %pañca-rāśi-vidhinā labdham sama-kalā-antaram 8_2_5//	KaNxAni 24/ 28/ 42/ %paQca-rASi--viDinA labDam sa-ma-kalA-antaram 8_2_5//
   atha miśra-antare karaṇa-sūtram vṛtta-%ardham/	aTa miSra-antare karaNa-sUtram vRtta--%arDam/
   Lil_94a/ prakṣepakās miśra-hatās vibhaktās prakṣepa-yogeṇa pṛthak	Lit-_94a/ prakzepakAH miSra--hatAH viBaktAH prakzepa--yogeNa pRTak-
   phalāni//	PalAni//
   Lil_94p/ atra uddeśakas/	Lit-_94p/ atra uddeSakas/
   Lil_95a/ %pañcāśat %eka-sahitā gaṇaka %aṣṭaṣaṣṭis %pañca-ūnitā %navatis	Lit-_95a/ %paQcASat %eka--sahitA gaNaka %azwazazwiH %paQca--UnitA %navatis
   ādi-dhanāni yeṣām/	Adi-DanAni yezAm-/
   Lil_95c/ prāptā vimiśrita-dhanais %triśatī %tribhis tais vāṇijyatas @vada	Lit-_95c/ prAptA vimiSrita-DanEH %triSatI %triBiH tEH vANijyataH @vada
   @vibhajya dhanāni teṣām//	@viBajya DanAni tezAm-//
   Lil_95p/ nyāsas 51/ 68/ 85/ miśra-dhanam 300/ jātāni dhanāni 75/ 100/ 125/	Lit-_95p/ nyAsaH 51/ 68/ 85/ miSra-Danam 300/ jAtAni DanAni 75/ 100/ 125/
   etāni ādi-dhanais ūnāni lābhās 24/ 32/ 40// atha vā miśra-dhanam 300/	etAni Adi-DanEH UnAni lABAH 24/ 32/ 40// aTa vA miSra-Danam 300/
   ādi-dhana-aikyena 204 ūnam sarva-lābha-yogas 96/ asmin prakṣepa-guṇite	Adi-Dana-Ekyena 204 Unam sarva--lABa-yogaH 96/ asmin prakzepa--guNite
   prakṣepa-yoga-bhakte lābhās @bhavanti 24/ 32/ 40// vāpī-ādi-pūraṇe	prakzepa--yoga--Bakte lABAH @Bavanti 24/ 32/ 40// vApI--Adi-pUraNe
   karaṇa-sūtram vṛtta-%ardham/	karaNa-sUtram vRtta--%arDam/
   Lil_96/ @bhajet chidas aṃśais atha tais vimiśrais #rūpam @bhajet @syāt	Lit-_96/ @Bajet CidaH aMSEH aTa tEH vimiSrEH #rUpam @Bajet @syAt-
   paripūrti-kālas//	paripUrti--kAla-s//
   Lil_96p/ udāharaṇam/	Lit-_96p/ udAharaNam/
   Lil_97a/ ye nirjharās dina-dina-%ardha-%tṛtīya-%ṣaṣṭhais @saṃpūrayanti hi	Lit-_97a/ ye nirJarAH dina-dina--%arDa--%-tRtIya-%-zazWEH @saMpUrayanti hi
   pṛthak pṛthak eva muktās/	pRTak pRTak eva muktAs/
   Lil_97c/ vāpīm yadā yugapad eva sakhe vimuktās te kena vāsara-lavena tadā	Lit-_97c/ vApIm yadA yugapad eva saKe vimuktAH te kena vAsara-lavena tadA
   @vada āśu//	@vadaH ASu//
   Lil_97p/ nyāsas 1_1/ 1_2/ 1_3/ 1_6/ labdhas vāpī-pūraṇa-kālas dina-aṃśas	Lit-_97p/ nyAsaH 1_1/ 1_2/ 1_3/ 1_6/ labDaH vApI--pUraNa-kAlaH dina--aMSas
   1_12// kraya-vikraye karaṇa-sūtram vṛttam/	1_12// kraya--vikraye karaNa-sUtram vRttam/
   Lil_98a/ paṇyais sva-mūlyāni @bhajet sva-bhāgais @hatvā tad-aikyena	Lit-_98a/ paNyEH sva--mUlyAni @Bajet sva--BAgEH @hatvA tad--Ekyena
   @bhajet ca tāni/	@Bajet ca tAni/
   Lil_98c/ bhāgān ca miśreṇa dhanena @hatvā mūlyāni paṇyāni yathā-kramam	Lit-_98c/ BAgAn ca miSreNa Danena @hatvA mUlyAni paNyAni yaTA-kramam
   @syus// [āpaṭe: krama < kramam]	@syus// [a-Apawe: kramaH < kramam]
   Lil_98p/ uddeśakas/	Lit-_98p/ uddeSakas/
   Lil_99a/ sa-%ardham taṇḍula-mānaka-%trayam aho drammeṇa māna-%aṣṭakam	Lit-_99a/ sa-%arDam taNxula--mAnaka--%trayam aho drammeNa mAna--%azwakam
   mudgānām ca yadi %trayodaśa-mitās etās vaṇik kākiṇīs/	mudgAnAm ca yadi %trayodaSa-mitAH etAH vaNij kAkiNIs/
   Lil_99c/ @ādāya @arpaya taṇḍula-aṃśa-#yugalam mudga-%eka-bhāga-anvitam	Lit-_99c/ @a-AdAya @arpaya taNxula--aMSa-#yugalam mudga-%eka--BAga--anvitam
   kṣipram kṣipra-bhujas @vrajema hi yatas sa-arthas agratas @yāsyati//	kzipram kzipra-BujaH @vrajema hi yatas sa-arTaH agratas @yAsyati//
   Lil_99p/ nyāsas/ mūlye 1/ 1/ paṇye 7_2/ 8_1/ sva-bhāgau 2_1/ 1_1/	Lit-_99p/ nyAsas/ mUlye 1/ 1/ paNye 7_2/ 8_1/ sva-BAgO 2_1/ 1_1/
   miśra-dhanam 13_64/ atra mūlye sva-bhāga-guṇite paṇyābhyām bhakte jāte	miSra-Danam 13_64/ atra mUlye sva-BAga--guNite paNyAByAm Bakte jAte
   4_7/ 1_8/ anayos yogena 39_56/ ete 4_7/ 1_8 bhāgau ca 1_2/ 1_1/	4_7/ 1_8/ anayoH yogena 39_56/ ete 4_7/ 1_8 BAgO ca 1_2/ 1_1/
   miśra-dhanena 13_64/ @saṃguṇya bhakte jāte taṇḍula-muḍga-mūlye 1_6/ 7_192/	miSra-Danena 13_64/ @saMguNya Bakte jAte taNxula--muxga--mUlye 1_6/ 7_192/
   tathā taṇḍula-mudga-māne bhāgau 7_12/ 7_24/ atra taṇḍula-mūlye paṇau 2	taTA taNxula-mudga-mAne BAgO 7_12/ 7_24/ atra taNxula--mUlye paNO 2
   kākiṇyau	kAkiNyO
   2 varāṭakās 13/ varāṭaka-bhāgas ca 1_3/ mudga-mūlye [āpaṭe: mūdga- <	2 varAwakAH 13/ varAwaka-BAgaH ca 1_3/ mudga--mUlye [Apawe: mUdga <
   mudga-] kākiṇyau 2/ varāṭakās 6/ varāṭaka-bhāgau ca 2_3// udāharaṇam/	mudga-] kAkiNyO 2/ varAwakAH 6/ varAwaka-BAgO ca 2_3// udAharaNam/
   Lil_100a/ karpūrasya varasya niṣka-#yugalena %ekam palam @prāpyate	Lit-_100a/ karpUrasya varasya nizka-#yugalena %ekam palam @prApyate
   vaiśyā-nandana candanasya ca palam dramma-%aṣṭa-bhāgena ced/	vESyA-nandana candanasya ca palam dramma-%azwa--BAgena ced-/
   Lil_100c/ %aṣṭa-aṃśena tathā agaros pala-#dalam niṣkeṇa me @dehi tān	Lit-_100c/ %azwa-aMSena taTA agaroH pala-#dalam nizkeNa me @dehi tAn
