   atha kāvyā3darśaḥ	aTa kAvyA3darSaH
   tad gurūṇāṃ laghūnāṃ ca $ bāhulyā1lpa-tva-miśraṇaiḥ &	tat gurUNAm laGUnAm ca $ bAhulya-a1lpa-tva--miSraNEH &
   uccā1vaca-pra-kāraṃ tad % dṛśyam ā-khyāyikā4diṣu // 1.81 //	uccA1vaca--pra-kAram tat % dRSyam A-KyAyikA4dizu // 1.81 //
   asta-mastaka-pary-asta- $ sam-astā1rkā1ṃśu-saṃ-starā &	asta-mastaka--pary-asta $ sam-asta-a1rkA1MSu--saM-starA &
   pīna-stana-sthitā3tāmra- % kamra-vastre9va vāruṇī // 1.82 //	pIna--stana--sTitA3-tAmra % kamra-vastre9va vAruNI // 1.82 //
   iti padye 'pi paurastyā $ badhnanty ojas-vinīr giraḥ &	iti padye api pOrastyAH $ baDnanti ojas-vinIH giraH &
   anye tv an-ā-kulaṃ hṛdyam % icchanty ojo girāṃ yathā // 1.83 //	anye tu an-A-kulam hRdyam % icCanti ojaH girAm yaTA // 1.83 //
   payo-dhara-taṭo1t-saṅga- $ lagna-saṃ-dhyā-tapā1ṃśukā &	payaH--Dara--tawo1t-saFga $ lagna--saM-DyA--tapa-a1MSukAH &
   kasya kāmā3turaṃ ceto % vāruṇī na kariṣyati // 1.84 //	kasya kAmA3-turam cetaH % vAruNI na karizyati // 1.84 //
   [kānti vs. atyukti]	[kAnti vs. atyukti]
   kāntaṃ sarva-jagat-kāntaṃ $ laukikā1rthā1n-ati-kramāt &	kAntam sarva-jagat--kAntam $ lOkikA-1rTa-a1n--ati-kramAt &
   tac ca vārttā2bhi-dhāneṣu % varṇanāsv api dṛśyate // 1.85 //	tat ca vArttA2Bi-DAnezu % varNanAsu api dRSyate // 1.85 //
   gṛhāṇi nāma tāny eva $ tapo-rāśir bhavā-dṛśaḥ &	gRhANi nAma tAni eva $ tapo-rASiH BavA--dRSaH &
   saṃ-bhāvayati yāny eva % pāvanaiḥ pāda-pāṃsubhiḥ // 1.86 //	saM-BAvayati yAni eva % pAvanEH pAda--pAMsuBiH // 1.86 //
   anayor an-a-vadyā1ṅgi $ stanayor jṛmbhamāṇayoḥ &	anayoH an-a-vadyA1Fgi $ stanayoH jRmBamANayoH &
   ava-kāśo na pary-āptas % tava bāhu-latā2ntare // 1.87 //	ava-kASaH na pary-AptaH % tava bAhu--latA-2ntare // 1.87 //
   iti saṃ-bhāvyam evai8tad $ vi-śeṣā3-khyāna-saṃs-kṛtam &	iti saM-BAvyam evE8tat $ vi-Seza-a3-KyAna--saMs-kRtam &
   kāntaṃ bhavati sarvasya % loka-yātrā2nu-vartinaḥ // 1.88 //	kAntam Bavati sarvasya % loka-yAtrA-2nu-vartinaH // 1.88 //
   lokā1tī1ta ivā1ty-artham $ adhy-ā-ropya vi-vakṣitaḥ &	lokA1tI1taH iva-a1ti--arTam $ aDy-A-ropya vi-vakzitaH &
   yo 'rthas tenā7ti tuṣyanti % vi-dagdhā ne7tare janāḥ // 1.89 //	yaH arTaH tena-a7ti tuzyanti % vi-dagDAH ne7tare janAH // 1.89 //
   deva-dhiṣṇyam ivā9-rādhyam $ adya-pra-bhṛti no gṛham &	deva--DizNyam iva-a9-rADyam $ adya--pra-BRti naH gRham &
   yuṣmat-pāda-rajaḥ-pāta- % dhauta-niḥ-śeṣa-kilbiṣam // 1.90 //	yuzmat--pAda--rajaH-pAta % DOta--niH-Seza--kilbizam // 1.90 //
   alpaṃ nir-mitam ā-kāśam $ an-ā-locyai8va vedhasā &	alpam nir-mitam A-kASam $ an-A--locya-e8va veDasA &
   idam evaṃ-vidhaṃ bhāvi % bhavatyāḥ stana-jhṛmbhaṇam // 1.91 //	idam evaM-viDam BAvi % BavatyAH stana-JRmBaNam // 1.91 //
   idam aty-uktir ity uktam $ etad gauḍo1pa-lālitam &	idam ati--uktiH iti uktam $ etat gOxa-u1pa-lAlitam &
   pra-sthānaṃ prāk-pra-ṇītaṃ tu % sāram anyasya vartmanaḥ // 1.92 //	pra-sTAnam prAk--pra-NItam tu % sAram anyasya vartmanaH // 1.92 //
   [samādhi]	[samADi]
   anya-dharmas tato 'nya-tra $ loka-sīmā1nu-rodhinā &	anya-DarmaH tatas anya-tra $ loka--sImA1nu--roDinA &
   samyag ā-dhīyate yatra % sa sam-ā-dhiḥ smṛto yathā // 1.93 //	samyak A-DIyate yatra % sa sam-A-DiH smRtaH yaTA // 1.93 //
   ku-mudāni ni-mīlāni $ kamalāny un-miṣanti ca &	ku-mudAni ni-mIlAni $ kamalAni un-mizanti ca &
   iti netra-kriyā2dhy-āsāl % labdhā tad-vācinī śrutiḥ // 1.94 //	iti netra--kriyA-a2Di--AsAt % labDA tad--vAcinI SrutiH // 1.94 //
   niḥ-ṣṭhyūto1d-gīrṇa-vāntā3di $ gauṇa-vṛtti-vy-apā3-śrayam &	niH-zWyUta-u1d-gIrNa--vAntA3di $ gONa-vRtti-vy-apA3-Srayam &
   ati-sundaram anya-tra % grāmya-kakṣāṃ vi-gāhate // 1.95 //	ati-sundaram anya-tra % grAmya--kakzAm vi-gAhate // 1.95 //
   padmāny arkā1ṃśu-niḥ-ṣṭhyūtāḥ $ pītvā pāvaka-vi-pruṣaḥ &	padmAni arka-a1MSu--niH-zWyUtAH $ pItvA pAvaka-vi-pruzaH &
   bhūyo vamantī7va mukhair % ud-gīrṇā1ruṇa-reṇubhiḥ // 1.96 //	BUyas vamantI7va muKEH % ud-gIrNA1ruNa--reNuBiH // 1.96 //
   iti hṛdyam a-hṛdyaṃ tu $ niḥ-ṣṭhīvati vadhūr iti &	iti hRdyam a-hRdyam tu $ niH-zWIvati vaDUH iti &
   yuga-pan nai3ka-dharmāṇām % adhy-āsaś ca smṛto yathā // 1.97 //	yuga-pad nE3ka-DarmANAm % aDy-AsaH ca smRtaH yaTA // 1.97 //
   guru-garbha-bhara-klāntāḥ $ stanantyo megha-paṅktayaḥ &	guru-garBa-Bara--klAntAH $ stanantyaH meGa-paFktayaH &
   a-calā1dhi-tyako2t-saṅgam % imāḥ sam-adhi-śerate // 1.98 //	a-cala-a1Di-ti-ako2t-saFgam % imAH sam-aDi-Serate // 1.98 //
   ut-saṅga-śayanaṃ sakhyāḥ $ stananaṃ gauravaṃ klamaḥ &	ut-saFga--Sayanam saKyAH $ stananam gOravam klamaH &
   itī7me garbhiṇī-dharmā % bahavo 'py atra darśitāḥ // 1.99 //	iti-i7me garBiNI-DarmAH % bahavaH api atra darSitAH // 1.99 //
   tad etat kāvya-sarva-svaṃ $ sam-ā-dhir nāma yo guṇaḥ &	tat etat kAvya--sarva-svam $ sam-A-DiH nAma yaH guNaH &
   kavi-sā1rthaḥ sam-agro 'pi % tam ekam anu-gacchati // 1.100 //	kavi--sA1rTaH sam-agraH api % tam ekam anu-gacCati // 1.100 //
   iti mārga-dvayaṃ bhinnaṃ $ tat-sva-rūpa-ni-rūpaṇāt &	iti mArga--dvayam Binnam $ tat--sva-rUpa--ni-ru-upaNAt &
   tad-bhedās tu na śakyante % vaktuṃ prati-kavi sthitāḥ // 1.101 //	tad--BedAH tu na Sakyante % vaktum prati-kavi sTitAH // 1.101 //
   ikṣu-kṣīra-guḍā3dīnāṃ $ mādhuryasyā7ntaraṃ mahat &	ikzu--kzIra--guxA3-dInAm $ mADuryasya-a7ntaram mahat &
   tathā9pi na tad ā-khyātuṃ % saras-vatyā9pi śakyate // 1.102 //	taTA-a9pi na tat A-KyAtum % saras-vatyA-a9pi Sakyate // 1.102 //
   nai-sargikī ca prati-bhā $ śrutaṃ ca bahu nir-malam &	nE-sargikI ca prati-BA $ Srutam ca bahu nir-malam &
   a-mandaś cā7bhi-yogo 'syāḥ % kāraṇaṃ kāvya-saṃ-padaḥ // 1.103 //	a-mandaH ca-a7Bi-yogaH asyAH % kAraNam kAvya--saM-padaH // 1.103 //
   na vidyate yady api pūrva-vāsanā- $ guṇā1nu-bandhi prati-bhānam adbhutam &	na vidyate yadi api pUrva--vAsanA $ guNa-a1nu-banDi prati-BAnam adButam &
   śrutena yatnena ca vāg upā1sitā % dhruvaṃ karoty eva kam-apy anu-graham //	Srutena yatnena ca vAc upA1sitAH % Druvam karoti eva kam-api anu-graham //
   tad asta-tandrair a-niśaṃ saras-vatī $ śramād upā1syā khalu kīrtim	tat asta-tandrEH a-niSam saras-vatI $ SramAt upA1syA Kalu kIrtim
   īpsubhiḥ &	IpsuBiH &
   kṛśe kavi-tve 'pi janāḥ kṛta-śramāḥ % vi-dagdha-goṣṭhīṣu vi-hartum īśate	kRSe kavi--tve api janAH kRta-SramAH % vi-dak-Da--gozWIzu vi-hartum ISate
   // iti kāvyā3darśe mārga-vibhāgo nāma prathamaḥ pari-cchedaḥ //	// iti kAvyA3darSe mArga-viBAgaH nAma praTamaH pari-cCedaH //
